,station_id,stationname,date,daytype,rides,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,Location,zip_codes,has_market,month,spring,latitude,longitude,top_stations
248767,40450,95th/Dan Ryan,2013-03-24,U,5002,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248773,40450,95th/Dan Ryan,2013-03-30,A,6981,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248774,40450,95th/Dan Ryan,2013-03-31,U,5319,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248780,40450,95th/Dan Ryan,2013-04-06,A,7284,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248781,40450,95th/Dan Ryan,2013-04-07,U,5537,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248787,40450,95th/Dan Ryan,2013-04-13,A,7101,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248788,40450,95th/Dan Ryan,2013-04-14,U,5504,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248794,40450,95th/Dan Ryan,2013-04-20,A,6932,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248795,40450,95th/Dan Ryan,2013-04-21,U,5243,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248801,40450,95th/Dan Ryan,2013-04-27,A,7474,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
